date,open,high,low,close,volume,close_raw
2017-08-17,7.7259,7.7259,6.5373,7.7285,58299310,39
2017-08-18,7.5278,7.6269,7.3693,7.3718,1092840,37.2
2017-08-21,7.092,7.2901,7.0326,7.1042,798670,35.85
2017-08-22,6.8939,7.1316,6.8939,7.134,2295930,36
2017-08-23,7.1316,7.2901,7.0821,7.1736,520790,36.2
2017-08-24,7.2009,7.2009,7.092,7.1835,678690,36.25
2017-08-25,7.1118,7.191,7.092,7.1934,615370,36.3
2017-08-28,7.1316,7.191,7.1118,7.1934,761670,36.3
2017-08-29,7.1514,7.191,7.1217,7.1934,990000,36.3
2017-08-30,7.191,7.191,7.1316,7.1934,830100,36.3
2017-08-31,7.1514,7.191,7.1514,7.1934,1196380,36.3
2017-09-01,7.1514,7.191,7.1514,7.1934,978060,36.3
2017-09-05,7.1415,7.2108,7.1415,7.2132,1274130,36.4
2017-09-06,7.2108,7.5674,7.191,7.56,1269010,38.15
2017-09-07,7.5674,7.7853,7.5674,7.6393,900290,38.55
2017-09-08,7.6269,7.6269,7.5575,7.5699,339640,38.2
2017-09-11,7.5278,7.5476,7.3099,7.3321,655570,37
2017-09-12,7.3297,7.4288,7.2108,7.4015,330150,37.35
2017-09-13,7.399,7.4486,7.3495,7.4312,312470,37.5
2017-09-14,7.4288,7.4486,7.3891,7.4213,268880,37.45
2017-09-15,7.4188,7.4486,7.399,7.4114,352480,37.4
2017-09-18,7.4089,7.4288,7.3792,7.3916,323580,37.3
2017-09-19,7.3891,7.3891,7.3099,7.3222,820020,36.95
2017-09-20,7.3198,7.3891,7.3,7.3123,789670,36.9
2017-09-21,7.3099,7.3198,7.2802,7.3123,535570,36.9
2017-09-22,7.3099,7.3099,7.2307,7.2727,1288830,36.7
2017-09-25,7.2703,7.3,7.2604,7.2628,504360,36.65
2017-09-26,7.3099,7.3099,7.2505,7.2529,718370,36.6
2017-09-27,7.2505,7.4188,7.2505,7.3817,1473820,37.25
2017-09-28,7.3891,7.4882,7.3693,7.3817,1238590,37.25
2017-09-29,7.3792,7.4783,7.3792,7.4312,752340,37.5
2017-10-02,7.4288,7.4486,7.3297,7.3817,634350,37.25
2017-10-03,7.3693,7.3891,7.2802,7.3123,659660,36.9
2017-10-04,7.3099,7.3297,7.2802,7.3123,457470,36.9
2017-10-05,7.3495,7.3594,7.3,7.3024,219990,36.85
2017-10-06,7.3396,7.3693,7.2901,7.3718,409110,37.2
2017-10-09,7.4486,7.4486,7.3792,7.4213,936770,37.45
2017-10-10,7.4188,7.5674,7.399,7.5303,869010,38
2017-10-11,7.5674,7.825,7.5575,7.8275,3495690,39.5
2017-10-12,7.8349,8.0825,7.7853,7.9365,2362040,40.05
2017-10-13,7.9042,8.132,7.9042,7.9663,1322500,40.2
2017-10-16,7.9636,8.1617,7.9636,8.0653,2217910,40.7
2017-10-17,8.0627,8.2212,8.0627,8.1644,1689100,41.2
2017-10-18,8.3202,8.34,8.1815,8.1842,2362080,41.3
2017-10-19,8.1617,8.2608,8.0825,8.1446,1057180,41.1
2017-10-20,8.1419,8.241,8.1419,8.1842,1480860,41.3
2017-10-23,8.0825,8.3004,8.0627,8.0852,1498490,40.8
2017-10-24,8.1122,8.1122,8.0131,8.0653,826280,40.7
2017-10-25,8.0627,8.1518,7.9834,8.1248,1275530,41
2017-10-26,8.1221,8.1815,8.0231,8.0653,757830,40.7
2017-10-27,8.0429,8.1221,8.033,8.0951,738890,40.85
2017-10-30,8.0924,8.2806,8.0924,8.1446,1960480,41.1
2017-10-31,8.1419,8.1815,8.0429,8.0554,1027260,40.65
2017-11-01,8.0429,8.1023,7.9537,7.9861,994020,40.3
2017-11-02,7.9636,8.0429,7.4486,7.4709,2450520,37.7
2017-11-03,7.4882,7.9636,7.4882,7.9663,1257280,40.2
2017-11-06,7.9636,7.9636,7.825,7.9068,490420,39.9
2017-11-07,7.8844,7.8844,7.8051,7.8275,579800,39.5
2017-11-08,7.825,7.9834,7.7556,7.9663,826220,40.2
2017-11-09,7.9834,7.9834,7.825,7.8672,537590,39.7
2017-11-10,7.8547,7.8646,7.825,7.8375,503430,39.55
2017-11-13,7.8448,7.8448,7.6467,7.669,734400,38.7
2017-11-14,7.6665,7.8051,7.6665,7.7384,777620,39.05
2017-11-15,7.7853,7.815,7.6863,7.7879,775820,39.3
2017-11-16,7.7853,8.0032,7.7358,7.8275,916660,39.5
2017-11-17,7.8844,7.924,7.815,7.8275,561660,39.5
2017-11-20,7.8448,7.8448,7.7358,7.7483,629260,39.1
2017-11-21,7.7259,7.7952,7.6764,7.7186,1003180,38.95
2017-11-22,7.7259,7.9636,7.7061,7.8474,1542070,39.6
2017-11-23,7.924,8.1023,7.7457,7.9266,1865520,40
2017-11-24,7.9735,8.0429,7.8646,7.9266,939760,40
2017-11-27,7.924,7.924,7.8745,7.887,865430,39.8
2017-11-28,7.8844,7.9933,7.8646,7.887,1532570,39.8
2017-11-29,7.8844,8.0131,7.8844,7.9464,1922690,40.1
2017-11-30,8.0032,8.1716,7.9834,8.1545,4526350,41.15
2017-12-01,8.241,8.241,8.1419,8.1545,3263090,41.15
2017-12-04,8.1617,8.3796,8.1617,8.2239,2860030,41.5
2017-12-05,8.2608,8.3103,8.0627,8.1347,3035500,41.05
2017-12-06,8.132,8.1419,7.9438,8.0257,1964010,40.5
2017-12-07,8.0231,8.0429,7.8448,7.8474,1743680,39.6
2017-12-08,7.8448,7.924,7.8051,7.8275,1251580,39.5
2017-12-11,7.7259,7.815,7.6368,7.6393,1320400,38.55
2017-12-12,7.6863,7.825,7.1316,7.669,2982180,38.7
2017-12-13,7.6665,7.6764,7.508,7.5105,1148350,37.9
2017-12-14,7.5278,7.6467,7.5278,7.6096,714430,38.4
2017-12-15,7.607,7.6962,7.5674,7.5699,738630,38.2
2017-12-18,7.6269,7.7853,7.607,7.7285,1219150,39
2017-12-19,7.815,7.815,7.6269,7.7681,1250790,39.2
2017-12-20,7.7655,8.0231,7.7655,7.996,1292990,40.35
2017-12-21,8.0032,8.1023,7.9933,8.0158,1587340,40.45
2017-12-22,7.9834,8.0032,7.8943,8.0059,863870,40.4
2017-12-25,8.0032,8.0032,7.8844,7.9068,885840,39.9
2017-12-26,7.924,7.9438,7.8646,7.887,702040,39.8
2017-12-27,7.924,7.9834,7.9042,7.9068,1096400,39.9
2017-12-28,7.9636,8.0825,7.9636,8.0257,1336360,40.5
2017-12-29,8.0825,8.1815,8.0429,8.1248,2133440,41
2018-01-02,8.132,8.6867,8.132,8.5806,6973030,43.3
2018-01-03,8.6966,8.7956,8.5579,8.5905,2393590,43.35
2018-01-04,8.5975,8.9145,8.5876,8.8976,3127720,44.9
2018-01-05,8.8947,8.8947,8.6174,8.7986,2611280,44.4
2018-01-08,8.7956,9.2117,8.7164,9.2048,2758530,46.45
2018-01-09,9.3107,9.4989,8.9145,9.4921,4813410,47.9
